Holiday Count,Calendar Year,Customer Branch,View,Edit,IsFreeze
10.00,2026,Visteon Pune,false,false,false
6.00,2025,UNO MINDA - Bangalore,false,false,false
9.00,2025,VALUELEAF,false,false,false
11.00,2026,Magna Steyr Pune,false,false,false
,2026,CREAT UNO MINDA - PUNE,false,false,false
9.00,2025,CREAT UNO MINDA - PUNE,false,false,false
10.00,2026,Aptiv - Bangalore,false,false,false
10.00,2025,Aptiv - Bangalore,false,false,false
,2026,Marelli - Bangalore,false,false,false
10.00,2025,Marelli - Bangalore,false,false,false
8.00,2026,MAHLE Chakan,false,false,false
8.00,2025,MAHLE Chakan,false,false,false
,2026,HARMAN - Pune,false,false,false
9.00,2025,HARMAN - Pune,false,false,false
2.00,2026,DAIMLER TRUCK INNOVATION CENTER INDIA PVT LTD,false,false,false
10.00,2025,DAIMLER TRUCK INNOVATION CENTER INDIA PVT LTD,false,false,false
8.00,2026,HARMAN - Bangalore,false,false,false
9.00,2025,HARMAN - Bangalore,false,false,false
11.00,2025,Magna Steyr Pune,false,false,false
2.00,2025,Adani  Motor Ahamdabad,false,false,false
,2026,,false,false,false
,2025,,false,false,false
,2024,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
,,,false,false,false
