Customer Name,Branch Name,Billing Address,GSTIN,PAN,Customer,Branch Legal Name,ID
Adani Motor,Adani  Motor Ahamdabad,"100, 8th Floor Technology Space Park, DNG Industrial Zone, Ahmedabad, Gujarat, 380007 , India",24DVPPS1204F1ZL,DVPPS1204F,Adani Motor,Adani Motor India Pvt Ltd,"270193000000318009"
Adani Motor,Adani Motor Delhi,"5th Floor, Embessay Tech Park, Sector 8, South Delhi, Delhi, Delhi, 110324, India",01DVPPS1204F1ZL,DVPPS1204F,Adani Motor,Adani Motor India Pvt Ltd,"270193000000318014"
APTIV-ASUX,Ascendion Digital Solutions Private Limited,"3rd Floor, Next to Satyanarayan Party Plot, GotriSevasi Road, Gotri Village, Vadodara, Gujarat, 390021, India",24AACCM4351R1Z5,AACCM4351R,APTIV-ASUX,Ascendion Digital Solutions Private Limited,"270193000000192017"
APTIV-ASUX,Aptiv - Bangalore,"7th & 8th Floor, at C2 Block, Brigade Tech Garden, Unit- 104, 1ST, 7TH & 8TH Floor at C1 Block, Kundalahalli, Brookefield,, Bangalore, Karnataka, 560037, India",29AAACD0226E2Z6,AAACD0226E,APTIV-ASUX,ASUX Safety Components India Pvt Ltd,"270193000000229139"
BRAKES INDIA ,BRAKES INDIA PRIVATE LIMITED,"MTH ROAD, PADI, Chennai, Tamil Nadu, 600050, India",33AAACB2533Q1ZP,AAACB2533Q,BRAKES INDIA ,BRAKES INDIA PRIVATE LIMITED,"270193000000196005"
DAIMLER TRUCK,DAIMLER TRUCK INNOVATION CENTER INDIA PVT LTD,"EPIP Zone, Whitefield, Hoodi V, BENGALURU, Karnataka, 560066, India",29AAICD6400E1ZV ,AAICD6400E,DAIMLER TRUCK,DAIMLER TRUCK INNOVATION CENTER INDIA PVT LTD,"270193000000192029"
Embitel,Embitel Banglore,,,,Embitel,,"270193000000288101"
FEV,FEV Baner,"Survey No. 2, Hissa No 7/1, Bitwise Globus, Baner Gaon, Pune, Maharashtra, 411045, India",27AAACF9589Q1ZK,AAACF9589Q,FEV,FEV INDIA PRIVATE LIMITED,"270193000000287005"
FEV,FEV Talegaon,"Plot No. A-21, MIDC, Talegaon Dabhade,  Taluka Maval,Talegaon, Pune, Maharashtra, 410507, India",27AAACF9589Q1ZK,AAACF9589Q,FEV,FEV India Private Limited,"270193000000287010"
Ford,Ford - Bangalore,,,,Ford,Ford Business Solutions,"270193000001127011"
FORVIA,LITTLEBIG CONNECTION INDIA PRIVATE LIMITED,"NO. 9, M N PALYA, BANGALORE, Karnataka, 560032, India",29AAECL7595C1Z5,AAECL7595C,FORVIA,LITTLEBIG CONNECTION INDIA PRIVATE LIMITED,"270193000000196017"
