Customer Name,Legal Business Name,Address,Status
Ford,Ford Business Solutions,"9th Floor, H2 Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka , 560045, India",Active
Hays AG,Hays AG,"Lilli-Palmer-Straße 2, 80636 Munich, Munich, Bavaria, 80636, Germany",Active
Adani Motor,Adani Motor India Pvt Ltd,"102, E Wing 8th Floor, Gujarat Industrial Technology Park, Vadodara, Gujarat, 310234, India",Inactive
TACO,Tata AutoComp Systems Limited,"TACO House, Damle Path,, Off Law college road,, Pune, Maharashtra, Maharashtra, 411004, India",Inactive
MAN Trucks,MAN Truck & Bus India Private Limited.,"6th Floor, Malpani Agile, Baner Road, Pancard Club Rd, Pune , Maharashtra, 411069, India",Inactive
IPLTech,IPLTech Electric Pvt. Ltd. ,"HSIIDC Plot No 2, Sector M-11,Transport HUB,, IMT Manesar, , Haryana, 122052, India",Inactive
MSIL ,Maruti Suzuki India Limited,"1, Nelson Mandela Road, Vasant Kunj, New Delhi -, New Delhi, 110070, India",Inactive
Embitel,Embitel Technologies India Pvt Ltd,"Mobius Tower, 2nd Floor, SJR I Park, No 13, 14 & 15,, Industrial Area,EPIP,Whitefield, Banglore, Karnataka, 560066, India",Inactive
TATA Motors,Tata Motors Passenger Vehicles Limited,"A Block, Shivasagar Estate,, Dr. Annie Besant Road,, Worli, Mumbai, 400 018, India",Active
FEV,FEV INDIA PRIVATE LIMITED,"MIDC A - 21 MIDC ROAD, , Taluka Maval Talegaon,Dabhade, Pune, Maharashtra, 411045, India",Active
HARMAN Connected Service,HARMAN CONNECTED SERVICES CORPORATION INDIA PRIVATE LIMITED,"No.3 & 3A of EOIZ of Industrial Area,Survey No. 85 & 86,, Sadarmangala Village, Krishnarajap uram Hobli, Bangalore, Karnataka, 560066, India",Active
Grupo Antolin,Grupo Antolin India Private Limited," B-25, MIDC, Ranjangaon, Shirur, Pune, Maharastra, 412210 , India",Active
SUN Mobility,SUN MOBILITY PRIVATE LIMITED,"No. 25, DoddaNekundi Industrial Area, Mahadevapura post, Whitefield Main Road, Bangalore, Karnataka, 560048, India",Active
ZF,ZF India Private Limited ,"7th & 8th Floor 09th & 10th floor (Q1 & 4), Sy.No - 203(P), CENTAURUS - SEZ unit 2,Manikonda jagir Village,Rajendranagar Mandal ,Ranga Reddy , Hyderabad , Telangana, 500032, India",Active
Renault,Renault Nissan Technology & Business Centre India Pvt Ltd,"Ascendas IT Park, Mahindra World City SEZ, Plot NoTP2/1, , Chengalpattu, Tamil Nadu, 603002, India",Active
UNO MINDA,UNO MINDA LIMITED,"Uno Minda Limited Nawada, Fatehpur, SikanderPur Badda IMT Manesar, Gurgaon, Haryana, 122004, India",Active
SPARK MINDA (SMIT),MINDA CORPORATION LTD,"Rajiv Gandhi, Survey No. 254 P, IT Park, PHASE-I, HINJAWADI, Pune, Maharashtra, 411057, India",Active
MAHLE,MAHLE ANAND THERMAL SYSTEMS PVT LTD,"GAT no. 626/1/2 & 622/1/0 Dist-Pune-410501, 29, Milestone, Pune Nasik Highway Village kuruli, Tal. Khed, Pune, Maharashtra, 410501, India",Active
FORVIA,FAURECIA INDIA PRIVATE LIMITED,"PLOT NO. T-187, FAURECIA, PIMPRI INDUSTRIAL AREA, B.G. BLOCK, BEHIND BHOSARI POLICE STATION, BHOSARI, Pune, Maharashtra, 411026, India",Active
BRAKES INDIA ,BRAKES INDIA PRIVATE LIMITED,"MTH ROAD, PADI, Chennai, Tamil Nadu, 600050, India",Active
VISTEON,VISTEON TECHNICAL AND SERVICES CENTRE PRIVATE LIMITED,"5th Floor,ICC Devi Gaurav, No.191192 Mumbai Pune Road, Pune, Maharashtra, 411018 , India",Active
MAGNA STEYR,MAGNA STEYR India (Pvt) Ltd,"First Floor-101 102 Kapil Zenith Hissa No.1,, Banglore-Mumbai Bypass, Near Chandani Chowk,Bavdhan Khurd, Pune, Maharashtra, 411021, India",Active
HARMAN,HARMAN INTERNATIONAL (INDIA) PRIVATE LIMITED,"Salarpuria Sattva Knowledge Court  Office-1, Wing 'A' & 'B' 3rd floor,, Plot No. 9, Phase I, Doddenakkundi Industrial Area,  K.R. Puram Hobli,, Bangalore, Karnataka, 560048, India",Active
MARELLI ,MARELLI (INDIA) PRIVATE LIMITED,"5th Floor, Tower 8,Candor TechSpace (Candor Gurgaon One Realty Projects Private Limited- IT/ITES SEZ), Village Tikri, Sector-48, Gurugram, Haryana, 122018, India",Active
DAIMLER TRUCK,DAIMLER TRUCK INNOVATION CENTER INDIA PVT LTD,"EPIP Zone, Whitefield, Hoodi V, BENGALURU, Karnataka, 560066, India",Active
APTIV-ASUX,ASUX Safety Components India Pvt Ltd,"P-24, Green Park Extension, South Delhi, New Delhi, New Delhi, Delhi, 110016, India",Active
MARQUARDT,MARQUARDT INDIA PVT. LTD,"Rajiv Gandhi Infotech Park (SEZ)· Hijawadi Phase 3, Maan, Mulshi , Pune, Maharashtra, 411057, India",Active
